Наименование;Производитель ;Цена;Ссылка
�альной цене!;NoData;2 904;/product/6119d3d4536ce2f46809118f/
АКТОВЕГИН 0,2 N50 ТАБЛ П/О;Такеда Фармасьютикалс, ООО ;1 612;/product/aktovegin-02-n50-tabl-po-5e327394ca7bdc00019321a7/
ФРАКСИПАРИН;Аспен Нотр Дам де Бондевиль/ Нанолек, ООО ;3 211;/product/fraksiparin-9500meml-03ml-n10-shpricz-tyub-5e3276d9f5a9ae000140f225/
КАРДИОМАГНИЛ;Такеда ГмбХ ;135;/product/kardiomagnil-007500152-n30-tabl-pplenoboloch-5e326c56f5a9ae000140a4c1/
ЭЛИКВИС;Пфайзер Айрлэнд Фармасьютикалз/Пфайзер Мэнюфэкчури ;827;/product/elikvis-0005-n20-tabl-pplenoboloch-6050b71db67e20cb21fe89d0/
ЭЛИКВИС;Бристол-Майерс Сквибб Мэнюфэкчуринг Компани/Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ ;829;/product/elikvis-00025-n20-tabl-pplenoboloch-5fb6c07d933e650001706d3d/
АКТОВЕГИН 0,04/МЛ 5МЛ N5 АМП Р-Р Д/ИН;Такеда Фармасьютикалс, ООО ;629;/product/aktovegin-004ml-5ml-n5-amp-r-r-din-5e32758df5a9ae000140e729/
Комплексный набор Поддержка сердца, кровеносной системы и мозга  - со скидкой 20%;NoData;910;/product/617b89b4a674e5fa1ad3a9ef/
КСАРЕЛТО;Байер АГ ;2 923;/product/ksarelto-0015-n28-tabl-pplenoboloch-5e3265aef5a9ae0001406cd2/
АКТОВЕГИН 0,04/МЛ 10МЛ N5 АМП Р-Р Д/ИН;Такеда Фармасьютикалс, ООО ;1 247;/product/aktovegin-004ml-10ml-n5-amp-r-r-din-5e3275a5ca7bdc000193312b/
ЭРИТРОПОЭТИН;Биннофарм, АО ;7 097;/product/eritropoetin-2000meml-1ml-n10-amp-r-r-vv-pk-5e326932ca7bdc000192d50a/
КАРДИОМАГНИЛ;Такеда Фармасьютикалс, ООО ;210;/product/kardiomagnil-015003039-n30-tabl-pplenoboloch-5e326f6c65b5ab0001654c68/
ПЛАВИКС;Санофи Винтроп Индустрия ;2 808;/product/plaviks-0075-n100-tabl-pplenoboloch-5e326f6765b5ab0001654c40/
АКТОВЕГИН 0,04/МЛ 2МЛ N25 АМП Р-Р Д/ИН;Такеда Австрия ГмбХ/ Такеда Фармасьютикалс, ООО ;1 625;/product/aktovegin-004ml-2ml-n25-amp-r-r-din-5e32738eca7bdc000193219e/
НАТРИЯ ХЛОРИД БРАУН;Гематек, ООО ;520;/product/natriya-xlorid-braun-09-100ml-n20-flak-r-r-dinf-5f48ddc165ed500001a93eb5/
ВЕССЕЛ ДУЭ Ф;Каталент Итали С.п.А/Альфасигма С.п.А. ;3 061;/product/vessel-due-f-250le-n60-kaps-5e327a2fca7bdc0001935a01/
СОРБИФЕР ДУРУЛЕС;Эгис Фармацевтический завод ЗАО ;469;/product/sorbifer-durules-n50-tabl-pplenoboloch-5e326b37ca7bdc000192e40e/
АЛЬБУМИН;МИКРОГЕН НПО АО (г.Нижний Новгород) ;1 997;/product/albumin-10-100ml-flak-r-r-dinf-5e326a8df5a9ae000140954b/
НАТРИЯ ХЛОРИД;Мосфарм,ООО ;62;/product/natriya-xlorid-09-500ml-kontejner-polimer-r-r-dinf-5e326ddef5a9ae000140af36/
ТАРДИФЕРОН;Пьер Фабр Медикамент Продакшн ;385;/product/tardiferon-008-n30-tabl-prolong-vysvob-pplenoboloch-5e32777bca7bdc000193423f/
ФОЛИЕВАЯ КИСЛОТА;Обновление ПФК  АО ;44;/product/folievaya-kislota-0001-n60-tabl-5f5f26a8ff2407000140774e/
НАТРИЯ ХЛОРИД БУФУС;Обновление ПФК  АО ;100;/product/natriya-xlorid-bufus-09-5ml-n10-amp-r-l-renewal-5e32787165b5ab0001659074/
НАТРИЯ ХЛОРИД;Гематек, ООО ;302;/product/natriya-xlorid-09-500ml-n10-flak-r-r-dinf-5e32762bca7bdc0001933687/
ВЕНОФЕР;АйДиТи Биологика ГмбХ/ Вифор (Интернэшнл) Инк. ;4 135;/product/venofer-002ml-5ml-n5flak-r-r-vv-5e3278a965b5ab00016591f7/
ТРОМБО АСС;Г.Л.Фарма ГмбХ ;49;/product/trombo-ass-005-n28-tabl-pkishechnorastvplenoboloch-5e326449ca7bdc000192af63/
Набор АКТОВЕГИН 0,2 N50 ТАБЛ П/О  2 уп. по специальной цене!;NoData;2 904;/product/6119d3d4536ce2f46809118f/
АКТОВЕГИН 0,2 N50 ТАБЛ П/О;Такеда Фармасьютикалс, ООО ;1 612;/product/aktovegin-02-n50-tabl-po-5e327394ca7bdc00019321a7/
ФРАКСИПАРИН;Аспен Нотр Дам де Бондевиль/ Нанолек, ООО ;3 211;/product/fraksiparin-9500meml-03ml-n10-shpricz-tyub-5e3276d9f5a9ae000140f225/
КАРДИОМАГНИЛ;Такеда ГмбХ ;135;/product/kardiomagnil-007500152-n30-tabl-pplenoboloch-5e326c56f5a9ae000140a4c1/
ЭЛИКВИС;Пфайзер Айрлэнд Фармасьютикалз/Пфайзер Мэнюфэкчури ;827;/product/elikvis-0005-n20-tabl-pplenoboloch-6050b71db67e20cb21fe89d0/
ЭЛИКВИС;Бристол-Майерс Сквибб Мэнюфэкчуринг Компани/Пфайзер Мэнюфэкчуринг Дойчленд ГмбХ ;829;/product/elikvis-00025-n20-tabl-pplenoboloch-5fb6c07d933e650001706d3d/
